question,intent,answer,language
ප්රතිකාර අතරතුර මට මස් අනුභව කළ හැකිද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
පිළිකා රෝගීන් සඳහා සමබර ආහාර වේලක් යනු කුමක්ද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
ශක්තිමත්ව සිටීමට මා ගත යුතු දේ මට වැඩිපුර කන්න බැහැ,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මට අසනීපයක් දැනෙන විට කෑමට පහසු ආහාර මොනවාද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මම ප්‍රෝටීන් ෂේක් පානය කළ යුතුද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
පිළිකා රෝගීන් සඳහා අවශ්ය කැලරි ප්රමාණය කුමක්ද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මොළයේ ගෙඩියක් සඳහා මම කීටොජනික් ආහාර වේලක් අනුගමනය කළ යුතුද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මොළයේ පිළිකා ප්රතිකාර සඳහා නිරාහාරව සිටීම හොඳය,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
ඔක්කාරය සමඟ උදව් කරන ආහාර මොනවාද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මට අසනීපයක් දැනෙන විට මා පානය කළ යුත්තේ කුමක්ද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
ප්රතිකාර අතරතුර මට යුෂ පානය කළ හැකිද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මම සැකසූ ආහාර වලින් වැළකී සිටිය යුතුද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
පිළිකා රෝගීන් සඳහා මෘදු ආහාර වේලක් යනු කුමක්ද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
ප්රතිකාර අතරතුර බර වැඩි කර ගන්නේ කෙසේද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
ප්‍රතිකාරයෙන් බර අඩු කර ගැනීම කළමනාකරණය කරන්නේ කෙසේද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මොළයේ පිළිකා ඇති රෝගීන්ට හොඳ පලතුරු මොනවාද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මා ආහාරයට ගත යුතු එළවළු මොනවාද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
ප්රතිකාර අතරතුර මට මාළු අනුභව කළ හැකිද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
පිළිකා සඳහා ඉහළ ප්‍රෝටීන් ආහාරයක් යනු කුමක්ද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මට කිරි නිෂ්පාදන අනුභව කළ හැකිද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
ප්රති-ගිනි අවුලුවන ආහාර වේලක් යනු කුමක්ද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
ප්රතිකාර අතරතුර මට ගෙඩි සහ බීජ අනුභව කළ හැකිද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
ප්රතිකාර අතරතුර ඖෂධීය තේ ගැන කුමක් කිව හැකිද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
හරිත තේ මොළයේ පිළිකා සඳහා හොඳද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
දැවිල්ල ඇති කරන ආහාර මොනවාද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මම වැඩිපුර බර අඩු වෙනවා මම කන්න ඕන මොනවද කියලා,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මම දිනකට කොපමණ ආහාර අනුභව කළ යුතුද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
පිළිකා රෝගීන් සඳහා පෝෂණ සැලැස්ම කුමක්ද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මට බත් පාන් කන්න පුළුවන්ද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
ප්රතිකාර අතරතුර probiotics ගැන කුමක් කිව හැකිද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
තෙහෙට්ටුවට එරෙහිව සටන් කිරීම සඳහා හොඳම ආහාරය කුමක්ද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මම දිනකට කොපමණ ජලය පානය කළ යුතුද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
පිළිකා සඳහා සුදුළූණු අනුභව කළ හැකිද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මොළයේ ගෙඩියක් සඳහා කහ ගැන කුමක් කිව හැකිද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
කාබනික ආහාර පිළිකා රෝගීන්ට වඩා හොඳයි,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
ප්රතිකාර අතරතුර ප්රතිශක්තිකරණ පද්ධතිය වැඩි කරන ආහාර මොනවාද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
මට චොකලට් කන්න පුළුවන්ද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
පිළිකා සඳහා මධ්යධරණී ආහාර යනු කුමක්ද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
දුර්වල ආහාර රුචිය කළමනාකරණය කරන්නේ කෙසේද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
පිළිකා රෝගීන් සඳහා පෝෂණ අතිරේකය යනු කුමක්ද?,nutrition,"මොළයේ පිළිකා ප්රතිකාර අතරතුර සමබර ආහාර වේලක් වැදගත් වේ. බිත්තර, මාළු සහ පරිප්පු වැනි ප්‍රෝටීන් බහුල ආහාර සමඟ කුඩා නිතර ආහාර ගැනීම කෙරෙහි අවධානය යොමු කරන්න. හොඳින් සජලනය වන්න, ඔබට ඔක්කාරය දැනෙනවා නම් සැර හෝ තෙල් සහිත ආහාර ගැනීමෙන් වළකින්න. පුද්ගලාරෝපිත සැලැස්මක් සඳහා ඔබේ වෛද්‍යවරයා හෝ පෝෂණවේදියෙකු හමුවන්න.",si
